小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
裕隆新村;(海淀马连洼)裕禧隆园;2007年建成;板楼;暂无信息;北京安居物业管理有限公司;北京金科兴源置业有限公司;11栋;778户;天秀花园店/海淀区天秀花园安和园22号楼11号底墒
外文局宿舍;(海淀白石桥)大慧寺路7号院;1978年建成;板楼;1元/平米/月;北京云勤物业公司;无开发商;4栋;306户;大慧寺店/海淀大慧寺路5号（粮店）
国家计委宿舍;(海淀五棵松)复兴路36号院;1989年建成;塔楼;暂无信息;无物业管理服务;北京城建集团;2栋;256户;永定路一店/海淀区永定路西里二号楼首层
怡丽南园;(海淀世纪城)蓝靛厂怡丽南园;2002年建成;板楼;1.5元/平米/月;北京东光物业管理公司;北京市泰华房地产开发集团有限公司;3栋;259户;世纪观山店/海淀区蓝靛厂观山园底商5-4
海淀南路31号院;(海淀苏州桥)海淀南路31号院;2000年建成;塔板结合;1元/平米/月;北京亿方物业管理有限责任公司;首开集团;1栋;98户;苏州街二店/海淀区海淀南路15号楼底商
西六砖瓦厂家属楼;(海淀海淀北部新区)宏丰西路1号院;1970年建成;板楼;暂无信息;暂无信息;暂无信息;11栋;597户;暂无门店信息
中国矿业大学校内;(海淀五道口)学院路丁11号;1990年建成;塔楼/板楼/塔板结合;暂无信息;单位自管物业;无开发商;16栋;1318户;清华东路店/海淀东王庄小区11号楼底商南侧第二间
大有北里小区;(海淀马连洼)天桥北路大有北里;1996年建成;板楼;1.18至1.68元/平米/月;无物业管理服务;无开发公司;39栋;2050户;西山庭院店/海淀区肖家河天秀花园秋水园6号楼1层28
永定路1号院;(海淀田村)永定路1号;1973年建成;板楼;0.5元/平米/月;街道办事处（委员会）代管物业;无开发商;8栋;498户;雅士合金店/海淀永定路2号院6号楼1层6-1商铺
清河文苑;(海淀清河)清河中街28号院;2001年建成;塔楼;1.6元/平米/月;国贸物业酒店管理有限公司;北京紫都置业发展有限公司;2栋;550户;力度店/海淀区清河中介69号院1层63-31
燕西台;(海淀西山)四季青镇巨山路;2007年建成;未知类型;2至5元/平米/月;中经物业;北京新凤凰城房地产开发有限公司;65栋;435户;暂无门店信息
恩济庄缘;(海淀定慧寺)恩济庄18号院;1998年建成;板楼/塔板结合;1.13至2.08元/平米/月;玉渊潭物业管理集团第一分公司;北京理想产业发展公司;4栋;194户;西八里庄南门店/海淀八里庄北里46号楼一层底商（由东向西第一，二，三间）
世华龙樾二期;(海淀清河)世华龙樾二期;2015年建成;板楼;5元/平米/月;北京城承物业管理有限责任公司;北京城建兴华地产有限公司;7栋;460户;莱圳店/海淀区莱圳家园17号楼
北洼路32号院;(海淀紫竹桥)北洼路32号院;1994年建成;塔楼/塔板结合;2.6元/平米/月;新中物业管理有限公司;无开发商;3栋;327户;玲珑路店/北京市海淀区北洼路29号院底商
知春路57号院;(海淀中关村)知春路57号院;1998年建成;塔板结合;1.5元/平米/月;单位自管物业;无开发商;1栋;126户;中关村东路店/海淀 区北京青云航空仪表有限公司北宿舍区第一管区57楼一层中间部分（中关村东路101-3）
稻香园甲;(海淀苏州桥)大河庄甲19号;1989年建成;板楼;1.3元/平米/月;北京精品亿方物业管理有限公司;无开发商;3栋;198户;大河庄苑店/海淀区苏州街3号大河庄苑4号楼110号底商
品阁公寓;(海淀西直门)交大东路36号院;2004年建成;塔板结合;1.6元/平米/月;北京太月物业管理有限责任公司;北京立业房地产开发有限公司;1栋;309户;交大东路店/海淀区交大东路五十六号院1号楼一层（南向北第一间）
学知轩;(海淀学院路)学清路16号院;2001年建成;塔楼;1.6元/平米/月;欣洁物业;北京市祺洋房地产开发有限责任公司;1栋;251户;城华园店/海淀区城华园2号楼106号
中兴家园;(海淀公主坟)玉渊潭南路17号;2000年建成;塔楼;2元/平米/月;玉渊潭物业管理集团第一分公司;北京中兴京澳房地产开发有限公司;1栋;198户;普惠南里店/北京市海淀羊坊店街道普惠南里12号楼马路斜对面（由东向西第一间一层及二层）
铁建大院;(海淀玉泉路)复兴路40号院;1990年建成;板楼/塔板结合;1至2.25元/平米/月;中铁六局北京铁建公司方大物业管理;中国铁建房地产集团有限公司;35栋;3045户;十一店/海淀区复兴路46号院3号楼
中信所小区;(海淀颐和园)西苑100号院;1987年建成;板楼;0.8元/平米/月;单位自管物业;无开发商;11栋;541户;暂无门店信息
恒盛欧洲公馆;(海淀玉泉路)金沟河路16号院;2011年建成;板楼/塔板结合;2.9元/平米/月;沈阳阳光鑫地物业管理有限公司;北京阳光鑫地置业有限公司;3栋;299户;欧洲公馆店/海淀区金沟河16号院4号楼-1至2层106
西山美墅馆B区;(海淀西山)旱河路301号院;2003年建成;未知类型;3.28至3.82元/平米/月;北京盛世物业管理有限公司;北京三九建业房地产开发有限公司;9栋;148户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
中关村南大街乙8号;(海淀皂君庙)中关村南大街乙8号;1982年建成;板楼;0.8元/平米/月;单位自管物业;无开发商;6栋;317户;华星影城店/海淀区双榆树西里工商银行东侧商铺门面
保利西山林语别墅;(海淀海淀北部新区)保利西山林语别墅;2004年建成;未知类型;2.28至3.88元/平米/月;保利物业管理(北京)有限公司;保利（北京）房地产开发有限公司;171栋;218户;保利别墅店/海淀区西北旺保利西山林语24号楼底商
小泥湾;(海淀双榆树)中关村大街46号院;1985年建成;板楼;暂无信息;无物业管理服务;无开发商;2栋;375户;华星影城店/海淀区双榆树西里工商银行东侧商铺门面
雪梨澳乡B区;(海淀西三旗)悦秀路雪梨澳乡;2000年建成;未知类型;3.6元/平米/月;北京金网络物业管理公司;北京首创阳光房地产有限责任公司;51栋;78户;上奥世纪店/昌平西三旗桥东上奥世纪1号楼一层门脸1
亮丽园;(海淀定慧寺)定慧北里亮丽园;2007年建成;板楼;2.21元/平米/月;北京集兴物业管理有限公司;北京裕泽房地产开发有限责任公司;1栋;192户;恩济庄店/海淀区恩济庄96号院2号楼一层底商
东旭园;(海淀西北旺)东北旺东旭园;1998年建成;板楼;1.1元/平米/月;北京东居物业管理有限公司;无开发商;4栋;176户;上地软件园店/海淀区东北旺路东旭园4号楼底商链家
首体宿舍;(海淀紫竹桥)三虎桥;1988年建成;板楼;1元/平米/月;单位自管物业;无开发公司;1栋;199户;豪柏国际公寓店/海淀区西三环北路50号院1号楼106
大件厂宿舍;(海淀万寿路)大件厂宿舍;1986年建成;板楼;暂无信息;单位自管物业;无开发商;5栋;463户;万寿路店/海淀区万寿路乙十四号楼
农业大学附属中学;(海淀马连洼)农业大学附属中学;1999年建成;板楼;暂无信息;无物业管理服务;北京海开房地产股份有限公司;3栋;192户;天秀花园店/海淀区天秀花园安和园22号楼11号底墒
西山美墅馆A区;(海淀西山)旱河路301号院;2004年建成;未知类型;3.82元/平米/月;北京盛世物业管理有限公司;北京三九建业房地产开发有限公司;7栋;124户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
嘉德公寓;(海淀五棵松)复兴路甲38号;1999年建成;塔板结合;2.6元/平米/月;北京嘉瑞物业管理公司;北京至圣嘉德房地产开发有限公司;1栋;271户;永定路五一店/海淀区永定路西里2号楼底商
增光路43号院;(海淀甘家口)增光路43号院;1980年建成;板楼;0.55元/平米/月;北京天鸿宝地物业管理经营有限公司;无开发商;3栋;216户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
建设研究院;(海淀五棵松)复兴路34号院;1980年建成;板楼;暂无信息;无物业管理服务;北京城建二建设工程有限公司;3栋;148户;永定路一店/海淀区永定路西里二号楼首层
皂君庙丙2号院;(海淀皂君庙)皂君庙丙2号院;1980年建成;板楼;暂无信息;梅地亚电视中心有限公司;无开发商;1栋;108户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
岭南路26号院;(海淀定慧寺)岭南路26号院;1981年建成;板楼;0.8元/平米/月;北京市房管所物业管理公司;北京建工集团有限责任公司;3栋;309户;玲珑路店/北京市海淀区北洼路29号院底商
西晴公寓;(海淀西直门)联慧路101号院;1997年建成;塔板结合;2.5元/平米/月;中海宏洋物业管理有限公司;北京光大房地产开发有限公司;1栋;378户;时代之光南门店/海淀西直门北大街45号2号楼1层101东侧部分
皂君庙2号院;(海淀皂君庙)皂君庙2号院;1995年建成;板楼;0.8元/平米/月;北京国联同利物业管理中心;无开发商;1栋;70户;皂君庙一店/海淀区皂君庙14号院1号楼底商101
三虎桥;(海淀紫竹桥)三虎桥;1985年建成;板楼;1元/平米/月;单位自管物业;暂无信息;10栋;361户;豪柏国际公寓店/海淀区西三环北路50号院1号楼106
北三环中路40号院;(海淀小西天)北三环中路40号院;1965年建成;塔楼/板楼;1.5元/平米/月;单位自管物业;北京中影房地产开发有限公司;6栋;454户;北师大店/西城区新街口外大街6-10
航南小区;(海淀知春路)知春路13号;2000年建成;塔楼;2元/平米/月;北京可来博物业管理公司;无开发商;2栋;216户;知春路店/海淀区知春路22号写字楼一层底商
长安山麓;(海淀玉泉路)柳明家园;2012年建成;未知类型;5.5元/平米/月;北京金隅物业管理有限责任公司;北京金隅嘉业房地产开发有限公司;14栋;248户;熙湖店/海淀区畅茜园圣华里6号楼1层108
厢白旗甲1号院;(海淀五道口)中关村北大街厢白旗甲1号院;1996年建成;板楼;1元/平米/月;单位自管物业;北京市超市发大厦房地产开发有限公司;4栋;196户;暂无门店信息
水科院;(海淀军博)复兴路甲1号;1980年建成;塔楼/板楼/塔板结合;暂无信息;单位自管物业;暂无信息;19栋;1263户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
中关村南三街;(海淀中关村)中关村南三街;1993年建成;塔板结合;2.17元/平米/月;北京科住物业管理有限公司;中国科学院房产管理所;2栋;220户;东南小区一店/海淀区中关村新科祥园7号楼1至2层
万寿路12号院;(海淀公主坟)万寿路12号院;1994年建成;板楼;暂无信息;单位自管物业;无开发商;3栋;226户;万寿路店/海淀区万寿路乙十四号楼
海淀大街44号;(海淀苏州桥)海淀大街44号;1990年建成;板楼;1元/平米/月;亿方物业;无开发商;1栋;66户;大河庄苑店/海淀区苏州街3号大河庄苑4号楼110号底商
有色金属院;(海淀军博)复兴路12号院;1983年建成;塔楼/板楼/塔板结合;0.8元/平米/月;单位自管物业;中国房地产开发公司;6栋;695户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
小营东路5号院;(海淀清河)小营东路5号院;1980年建成;板楼;暂无信息;单位自管物业;无开发商;9栋;407户;专家国际花园店/海淀后屯路26号一层1-12、1-13房屋
清华园铁路宿舍;(海淀五道口)清华园铁路宿舍;1982年建成;板楼;0.4元/平米/月;中铁六局集团北京铁路建设有限公司;无开发商;4栋;114户;五道口店/海淀区华清嘉园8号楼底墒
海淀南路30号院;(海淀苏州桥)海淀南路30号院;1990年建成;板楼;1元/平米/月;亿方物业;首开集团;4栋;106户;苏州街二店/海淀区海淀南路15号楼底商
半壁店六建宿舍;(海淀田村)半壁店六建宿舍;1987年建成;板楼;0.5元/平米/月;街道办事处（委员会）代管物业;北京六建集团公司;2栋;176户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
气象西苑;(海淀紫竹桥)北洼西里52号院;1999年建成;塔楼/板楼/塔板结合;1.8元/平米/月;单位自管物业;无开发商;4栋;408户;玲珑路店/北京市海淀区北洼路29号院底商
雪梨澳乡E区;(海淀清河)西三旗花园三里;2002年建成;未知类型;3.6元/平米/月;北京金网络物业管理有限公司;北京首创阳光房地产有限责任公司;39栋;57户;莱圳店/海淀区莱圳家园17号楼
半导体宿舍;(海淀学院路)清华东路甲35号;1983年建成;板楼/塔板结合;暂无信息;无物业管理服务;北京城建四公司;8栋;589户;林大北路店/海淀区林业大学北路18号院3号楼底商
丝绸厂宿舍;(海淀安宁庄)安宁庄东路6号院;1984年建成;板楼;暂无信息;无物业管理服务;无开发商;5栋;266户;上林溪店/海淀区安宁庄西路安宁华庭3区5号楼底商
万泉新新商务花园;(海淀万柳)巴沟南路35号;2003年建成;板楼/塔板结合;3元/平米/月;万通物业管理有限公司;万泉花园物业开发有限公司;2栋;442户;万泉新新东门店/海淀区万柳东路7号7栋105
车公庄西路16号院;(海淀甘家口)车公庄西路16号院;1980年建成;板楼;1元/平米/月;单位自管物业;北京城建房地产开发有限公司;3栋;205户;主语城店/海淀区首体南路9号主语家园17号楼1－103
交大东路34号院;(海淀西直门)交大东路34号院;1990年建成;板楼;暂无信息;无物业管理服务;无开发公司;1栋;122户;交大东路店/海淀区交大东路五十六号院1号楼一层（南向北第一间）
朱各庄小区;(海淀万寿路)万寿庄路朱各庄小区;1984年建成;板楼;暂无信息;街道办事处（委员会）代管物业;无开发商;2栋;144户;紫金长安一店/海淀西翠路17号院19号楼1层商铺3
翠微路22号院;(海淀公主坟)翠微路22号院;1990年建成;板楼;暂无信息;单位自管物业;无开发商;3栋;318户;翠微店/海淀区翠微南里2号楼1层临7号
皂君庙乙2号院;(海淀皂君庙)皂君庙乙2号院;1988年建成;板楼;暂无信息;无物业管理服务;无开发商;4栋;133户;皂君庙一店/海淀区皂君庙14号院1号楼底商101
志新西路一号院;(海淀二里庄)志新西路一号院;1998年建成;板楼;1.2元/平米/月;北京天宇嘉业物业管理有限公司;北京城建集团;2栋;132户;二里庄南店/海淀区志新路16号底墒
西钓鱼台庄园;(海淀定慧寺)西钓鱼台庄园, 八里庄路56号院;1998年建成;板楼;4元/平米/月;北京西宇嘉业物业管理有限公司;北京市御水苑房地产开发有限责任公司;4栋;142户;西八里庄南门店/海淀八里庄北里46号楼一层底商（由东向西第一，二，三间）
北三环中路46号院;(海淀小西天)北三环中路46号院;1986年建成;板楼;1.5元/平米/月;单位自管物业;北京市城市建设工程开发公司;2栋;452户;蓟门东里店/北京市海淀区蓟门里小区南商业楼
万寿路西街1号院;(海淀万寿路)万寿路西街1号院;1985年建成;板楼;0.1元/平米/月;单位自管物业;中国电子信息产业集团公司;1栋;99户;万寿路店/海淀区万寿路乙十四号楼
中关村东路;(海淀双榆树)中关村东路;1985年建成;板楼;暂无信息;无物业管理服务;无开发商;6栋;745户;中关村东路店/海淀 区北京青云航空仪表有限公司北宿舍区第一管区57楼一层中间部分（中关村东路101-3）
翠微路16号院;(海淀公主坟)翠微路16号院;1983年建成;板楼/塔板结合;暂无信息;单位自管物业;无开发商;7栋;360户;翠微店/海淀区翠微南里2号楼1层临7号
和景园;(海淀知春路)北三环西路5号;2001年建成;板楼/塔板结合;2.5元/平米/月;北京务实物业管理中心;北京鑫阳房地产;2栋;120户;蓟门东里店/北京市海淀区蓟门里小区南商业楼
新苑街15号院;(海淀甘家口)新苑街15号院;1982年建成;板楼;暂无信息;单位自管物业;无开发商;4栋;276户;国兴家园店/海淀区首体南路2号东区7栋
菊花盛苑;(海淀马连洼)马连洼菊花盛苑;2002年建成;板楼;0.8至1.68元/平米/月;北京东居物业管理有限公司;北京海开房地产集团公司;3栋;162户;亿城西山华府店/海淀区马连洼竹园32号楼1层102
皂君庙甲16号院;(海淀皂君庙)皂君庙甲16号院;1999年建成;塔板结合;1.5元/平米/月;无物业管理服务;无开发商;2栋;290户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
大柳树5号院;(海淀白石桥)大柳树5号院;2000年建成;板楼;暂无信息;无物业管理服务;北京城建集团;1栋;162户;皂君东里店/海淀学院南路皂君东里13号楼底商
北京机械学院家属楼;(海淀清河)北机院教工住宅;1985年建成;板楼/塔板结合;0.8至1元/平米/月;暂无信息;北京房地集团有限公司;5栋;355户;清河小营店/海淀区清河小营东路华北电力大学底墒/海淀区清河桥东80米华北电力大学家属1栋2号
车公庄西路甲7号院;(海淀甘家口)车公庄西路甲7号院;1988年建成;板楼;暂无信息;北京市房管所物业管理公司;无开发商;2栋;168户;国兴家园店/海淀区首体南路2号东区7栋
生态园;(海淀学院路)双清路18号;1987年建成;板楼;暂无信息;无物业管理服务;城建四公司;9栋;259户;林大北路店/海淀区林业大学北路18号院3号楼底商
翠微路26号院;(海淀公主坟)翠微路26号院;1989年建成;板楼;暂无信息;单位自管物业;无开发商;2栋;126户;翠微店/海淀区翠微南里2号楼1层临7号
彩电宿舍;(海淀甘家口)增光路25号院;1980年建成;板楼;暂无信息;单位自管物业;无开发商;2栋;144户;增光佳苑店/海淀区增光路27号院3号楼底商一层27-5层
金庄1号院;(海淀四季青)金庄1号院;1996年建成;板楼;1.8元/平米/月;北京北新家园物业管理有限公司;暂无信息;4栋;216户;西荣阁店/海淀彰化路138号院1号楼106号
科熙小区;(海淀中关村)中关村;1990年建成;板楼;1.77元/平米/月;科驻物业;中国科学院房产管理所;2栋;174户;中关村店/海淀区中关村南路8-8链家地产
远大园三区;(海淀世纪城)世纪城远大园三区;2001年建成;塔楼/板楼;2.52元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;6栋;741户;世纪金源店/海淀区世纪城远大园四甲2号楼底商
三虎桥南路12号院;(海淀紫竹桥)三虎桥南路12号院;1970年建成;板楼/平房;0.55元/平米/月;北京经中太联物业管理有限公司;无开发商;10栋;449户;花园桥地铁店/西三环北路97号
西三环北路76号院;(海淀甘家口)西三环北路76号院;1991年建成;塔楼/塔板结合;暂无信息;暂无信息;北京六建集团公司;2栋;199户;花园桥地铁店/西三环北路97号
新华联国际;(海淀公主坟)翠微路12号;2007年建成;塔板结合;6元/平米/月;北京悦豪物业管理有限公司;北京华信鸿业房地产开发有限公司;1栋;326户;翠微店/海淀区翠微南里2号楼1层临7号
海天中心;(海淀军博)羊坊店东路19号;2001年建成;塔楼/塔板结合;2.5元/平米/月;北京中广物业管理有限公司;北京海天房地产开发有限公司;2栋;330户;北蜂窝一店/北蜂窝路63号院底商
四道口5号院;(海淀皂君庙)四道口路5号院;1999年建成;板楼;1.6元/平米/月;单位自管物业;无开发商;3栋;275户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
太平路42号院;(海淀五棵松)太平路42号院;1982年建成;板楼;暂无信息;北京燕山石油化工有限公司物业管理分公司;无开发商;4栋;162户;永定路五一店/海淀区永定路西里2号楼底商
知春路47号院;(海淀中关村)知春路47号;1996年建成;板楼;1.5元/平米/月;单位自管物业;无开发商;1栋;120户;大钟寺壹号店/海淀区大钟寺东路汉荣家园1号楼
后屯路32号院;(海淀清河)后屯路32号院;1996年建成;板楼;0.65元/平米/月;单位自管物业;无开发商;5栋;480户;清河地铁店/海淀区永泰中路永泰庄地铁A口旁边
北洼西里53号;(海淀紫竹桥)北洼西里53号;2002年建成;塔板结合;2元/平米/月;单位自管物业;暂无信息;1栋;132户;车道沟南里店/海淀区车道沟南里南门底商
民族歌舞团宿舍;(海淀魏公村)中关村南大街19号;1985年建成;板楼/塔板结合;1.6元/平米/月;单位自管物业;首创置业股份有限公司;3栋;313户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
西山美墅馆E区;(海淀西山)溪山嘉园景湖轩;2003年建成;未知类型;4.77元/平米/月;北京盛世物业管理有限公司;北京三九建业房地产开发有限公司;88栋;88户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
学院南路乙10号院;(海淀小西天)学院南路乙10号院;1980年建成;板楼/塔板结合;暂无信息;无物业管理服务;无开发公司;4栋;385户;北师大东门一店/海淀区新街口外大街12甲12号楼1层102
田村39号院;(海淀田村)田村路39号院;1998年建成;板楼;暂无信息;单位自管物业;无开发商;3栋;174户;乐府江南店/海淀区永定路乙1号院2号楼一单元105及103部分商业
西山美墅馆K区;(海淀西山)溪山嘉园山林轩;2004年建成;未知类型;3.82元/平米/月;北京盛世物业管理有限公司;北京三九建业房地产开发有限公司;11栋;140户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
学院南路乙12号;(海淀小西天)学院南路乙12号;1983年建成;板楼/平房;1至1.2元/平米/月;街道办事处（委员会）代管物业;北京市西城区城市建设开发公司;4栋;261户;今典花园店/海淀区文慧园北路24号南侧第一间第二间第三间第四间
北蜂窝中路2号院;(海淀军博)北蜂窝中路2号院;1987年建成;板楼;0.5至0.8元/平米/月;单位自管物业;无开发商;2栋;266户;会城门店/海淀区北蜂窝中路甲8号
金沟河17号院;(海淀五棵松)金沟河路17号;1990年建成;板楼;0.86元/平米/月;无物业管理服务;北京城建集团;2栋;192户;玉海园新店/海淀区采石路玉海园5里20号楼一层底墒
彩电小区;(海淀公主坟)复兴路11号院;1987年建成;塔楼/板楼;1元/平米/月;北京中广物业管理有限公司;暂无信息;4栋;472户;暂无门店信息
大钟寺甲133号院;(海淀皂君庙)大钟寺甲133号院;1996年建成;板楼;暂无信息;无物业管理服务;无开发商;2栋;234户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
三虎桥南路25号院;(海淀紫竹桥)三虎桥南路25号院;1978年建成;板楼;暂无信息;暂无信息;暂无信息;5栋;348户;花园桥地铁店/西三环北路97号
颐丰庄园;(海淀海淀北部新区)丰润中路5号院;2011年建成;板楼;暂无信息;暂无信息;暂无信息;24栋;165户;暂无门店信息
竹溪园;(海淀学院路)双泉堡125号;2001年建成;塔楼/板楼;2.28至4元/平米/月;单位自管物业;中地房地产开发有限公司;40栋;103户;澳景花庭店/朝阳区洼里乡花虎沟9号院1号楼
政法大学文化楼;(海淀皂君庙)西土城路25号;1974年建成;板楼/塔板结合;暂无信息;无物业管理服务;无开发商;5栋;867户;学院派物美店/海淀区学院南路15号院10号楼1层103
学院南路60号院;(海淀西直门)学院南路60号院;1983年建成;板楼;暂无信息;北京城建物业管理有限责任公司;北京城建集团有限责任公司;4栋;254户;财经大学店/海淀区大柳树路2号
钟表南园;(海淀马甸)马甸西村路5号院;1988年建成;板楼;0.416元/平米/月;北京一商集团有限责任公司;无开发商;3栋;204户;冠城南园店/海淀马甸路中航宿舍底墒
远大园一区;(海淀世纪城)世纪城远大园一区;2001年建成;板楼;2.52元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;5栋;641户;远大园六区店/海淀区远大园六区甲3号1层-2
中关村发育所;(海淀中关村)中关村南一条3号;1990年建成;板楼;1.77元/平米/月;北京科住物业管理有限公司;中国科学院房产管理所;2栋;78户;保福寺新店/海淀区中关村334楼4门103号
又一村;(海淀定慧寺)北洼路又一村规划局;1987年建成;板楼;0.5至1.8元/平米/月;房管所代管物业;北京城建三建设集团有限公司;7栋;492户;玲珑路店/北京市海淀区北洼路29号院底商
万芳苑;(海淀公主坟)翠微中里;2003年建成;塔板结合;2.5元/平米/月;北京中房物业公司;中房集团华北城市建设投资有限公司;1栋;126户;翠微中里店/海淀翠微东里11号楼3单元312号
动街区;(海淀西三旗)动街区, 海淀区建材城西路27号;2008年建成;塔板结合;1.99元/平米/月;北京天鸿宝地物业管理经营有限公司;北京鼎昌源房地产开发有限公司;1栋;216户;知本时代新店/海淀区建材城西路27号1层101
龙湖颐和原著;(海淀颐和园)龙湖颐和原著;2010年建成;未知类型;10至11元/平米/月;北京龙湖物业管理公司;北京龙湖置业有限公司;30栋;32户;暂无门店信息
西山美墅馆F区;(海淀西山)溪山嘉园山仕轩;2004年建成;未知类型;3.82元/平米/月;北京盛世物业管理有限公司;北京三九建业房地产开发有限公司;10栋;116户;西山商业广场店/海淀区杏石口路西山商业大厦C座西三号
万寿路西街12号院;(海淀万寿路)万寿路西街12号院;1985年建成;板楼;暂无信息;无物业管理服务;北京六建集团公司;1栋;84户;育英学校店/海淀区复兴路乙65号（北向南第二间）
国悦府;(海淀公主坟)复兴路51号;2010年建成;塔楼;8元/平米/月;北京鼎铭物业管理有限公司;北京北亚华欣置业有限公司;1栋;722户;万寿路店/海淀区万寿路乙十四号楼
翠微路4号;(海淀公主坟)翠微路4号;1978年建成;板楼/平房;暂无信息;单位自管物业;中房集团华北城市建设投资有限公司;6栋;336户;翠微西里店/海淀区翠微东里小吃店1屋西2
西颐北馆;(海淀苏州桥)北三环西路45号院;1957年建成;板楼;0.01元/平米/月;北京燕侨物业管理有限责任公司;无开发商;3栋;385户;三义庙一店/海淀北三环西路甲49号楼大厅东侧底商
文慧园北路26号院;(海淀小西天)文慧园北路26号院;1989年建成;塔楼/塔板结合;1至2元/平米/月;北京文慧园物业管理有限公司;北京市威凯房地产开发经营公司;3栋;226户;今典花园店/海淀区文慧园北路24号南侧第一间第二间第三间第四间
西区邮电局;(海淀五棵松)永定路25号院;2010年建成;板楼/塔板结合;暂无信息;无物业管理服务;暂无信息;2栋;249户;金沟河店/海淀区金沟河路5号院801号楼1层3-1-1号
花园路14号院;(海淀牡丹园)花园路14号院;1983年建成;板楼;1元/平米/月;单位自管物业;无开发商;5栋;259户;花园北路店/海淀区花园北路36号底墒
新苑街1号院;(海淀甘家口)新苑街1号院;1990年建成;板楼;暂无信息;北京市房管所物业管理公司;无开发商;1栋;132户;国兴家园店/海淀区首体南路2号东区7栋
紫竹院南路4号院;(海淀紫竹桥)紫竹院南路4号院;1975年建成;板楼;暂无信息;单位自管物业;无开发商;8栋;242户;主语城店/海淀区首体南路9号主语家园17号楼1－103
北土城西路167号院;(海淀牡丹园)北土城西路167号院;1986年建成;板楼;1元/平米/月;北京金越发展公司北土城物业部;无开发商;2栋;162户;金尚嘉园店/海淀区花园甲2号院2号楼1层2101
北京气象局宿舍;(海淀紫竹桥)紫竹桥院路44号;1995年建成;板楼;暂无信息;暂无信息;暂无信息;4栋;253户;车道沟一店/海淀区车道沟10号院1号楼
中关村科技会展中心;(海淀皂君庙)北三环西路48号;1999年建成;塔楼/塔板结合;5.8元/平米/月;中澳达文物业管理;北京香海会展房地产开发有限公司;4栋;520户;华星影城店/海淀区双榆树西里工商银行东侧商铺门面
恒兴大厦;(海淀中关村)中关村东路89号;2000年建成;塔楼;4元/平米/月;北京恒兴基业物业管理有限公司;北京恒兴基业房地产开发有限公司;1栋;188户;保福寺新店/海淀区中关村334楼4门103号
厂洼街17号院;(海淀厂洼)厂洼街17号院;1997年建成;板楼;0.65元/平米/月;单位自管物业;无开发商;3栋;108户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
大柳树3号院;(海淀白石桥)大柳树3号院;1984年建成;板楼;暂无信息;无物业管理服务;北京城建集团;1栋;90户;皂君东里店/海淀学院南路皂君东里13号楼底商
田村41号院;(海淀田村)田村路41号院;1987年建成;板楼;暂无信息;单位自管物业;无开发商;4栋;287户;乐府江南店/海淀区永定路乙1号院2号楼一单元105及103部分商业
大苑海淀名著;(海淀田村)畅茜园雪芳里;2013年建成;塔楼/板楼/塔板结合;2.7至2.98元/平米/月;单位自管物业;北京市龙鼎华源房地产开发有限责任公司;6栋;716户;景宜里店/海淀中国房子1号楼1-104
颐和园宿舍;(海淀颐和园)新建宫门21号院;1980年建成;板楼;0.5元/平米/月;单位自管物业;无开发商;22栋;672户;暂无门店信息
花园楼;(海淀清河)清河花园楼;1980年建成;板楼;0.8元/平米/月;北京华泰龙安物业管理有限责任公司;无开发公司;6栋;449户;力度店/海淀区清河中介69号院1层63-31
钟表北园;(海淀马甸)马甸西路7号院;1981年建成;板楼;0.416元/平米/月;北京一商集团有限责任公司;无开发商;3栋;140户;冠城南园店/海淀马甸路中航宿舍底墒
万寿路西街5号院;(海淀万寿路)万寿路西街5号院;1994年建成;塔楼/塔板结合;0.1至2.29元/平米/月;单位自管物业;中国电子信息产业集团公司;5栋;663户;万寿路店/海淀区万寿路乙十四号楼
复兴路甲65号;(海淀万寿路)复兴路甲65号;1990年建成;塔板结合;0.1元/平米/月;单位自管物业;无开发商;1栋;132户;育英学校店/海淀区复兴路乙65号（北向南第二间）
铸诚大厦;(海淀皂君庙)白石桥路甲4号;2004年建成;塔板结合;4.8元/平米/月;北京东方鸿润物业管理有限公司;北京鸿润房地产开发有限公司;1栋;556户;华星影城店/海淀区双榆树西里工商银行东侧商铺门面
